title,year,url,popularity
Thank You For The Good Times,2007,http://www.metrolyrics.com/thank-you-for-the-good-times-lyrics-oasis.html,3
The Boy With The Blues,2008,http://www.metrolyrics.com/the-boy-with-the-blues-lyrics-oasis.html,0
The Cage,2008,http://www.metrolyrics.com/the-cage-lyrics-oasis.html,1
The Fame,2006,http://www.metrolyrics.com/the-fame-lyrics-oasis.html,0
The Fever,2006,http://www.metrolyrics.com/the-fever-lyrics-oasis.html,0
The Girl In The Dirty Shirt,2006,http://www.metrolyrics.com/the-girl-in-the-dirty-shirt-lyrics-oasis.html,0
The Hindu Times,2006,http://www.metrolyrics.com/the-hindu-times-lyrics-oasis.html,2
The Importance Of Being Idle,2005,http://www.metrolyrics.com/the-importance-of-being-idle-lyrics-oasis.html,4
The Masterplan,2006,http://www.metrolyrics.com/the-masterplan-lyrics-oasis.html,6
The Meaning Of Soul,2005,http://www.metrolyrics.com/the-meaning-of-soul-lyrics-oasis.html,1
The Nature of Reality,2008,http://www.metrolyrics.com/the-nature-of-reality-lyrics-oasis.html,0
The Quiet Ones,2007,http://www.metrolyrics.com/the-quiet-ones-lyrics-oasis.html,0
The Shock Of The Lightning,2008,http://www.metrolyrics.com/the-shock-of-the-lightning-lyrics-oasis.html,1
The Swamp Song,2006,http://www.metrolyrics.com/the-swamp-song-lyrics-oasis.html,1
The Turning,2008,http://www.metrolyrics.com/the-turning-lyrics-oasis.html,0
This Guy's in Love With You,2006,http://www.metrolyrics.com/this-guys-in-love-with-you-lyrics-oasis.html,3
Those Swollen Hand Blues,2009,http://www.metrolyrics.com/those-swollen-hand-blues-lyrics-oasis.html,0
To Be Free,2006,http://www.metrolyrics.com/to-be-free-lyrics-oasis.html,1
To Be Someone,2006,http://www.metrolyrics.com/to-be-someone-lyrics-oasis.html,3
To Be Where There's Life,2008,http://www.metrolyrics.com/to-be-where-there-s-life-lyrics-oasis.html,0
Tomorrow Never Knows,2006,http://www.metrolyrics.com/tomorrow-never-knows-lyrics-oasis.html,0
Trouble,2007,http://www.metrolyrics.com/trouble-lyrics-oasis.html,0
Turn Up The Sun,2005,http://www.metrolyrics.com/turn-up-the-sun-lyrics-oasis.html,1
Underneath The Sky,2006,http://www.metrolyrics.com/underneath-the-sky-lyrics-oasis.html,2
Untiled 1,2007,http://www.metrolyrics.com/untiled-1-lyrics-oasis.html,0
Untitled 2,2007,http://www.metrolyrics.com/untitled-2-lyrics-oasis.html,0
Up In The Sky,2006,http://www.metrolyrics.com/up-in-the-sky-lyrics-oasis.html,3
Waiting For The Rapture,2008,http://www.metrolyrics.com/waiting-for-the-rapture-lyrics-oasis.html,0
Wanderwall,2006,http://www.metrolyrics.com/wanderwall-lyrics-oasis.html,4
What's The Story Morning Glory?,2010,http://www.metrolyrics.com/whats-the-story-morning-glory-lyrics-oasis.html,3
Whatever,2006,http://www.metrolyrics.com/whatever-lyrics-oasis.html,5
Where Did It All Go Wrong?,2006,http://www.metrolyrics.com/where-did-it-all-go-wrong-lyrics-oasis.html,0
Who Feels Love,2006,http://www.metrolyrics.com/who-feels-love-lyrics-oasis.html,1
Who Put the Weight of the World On My Shoulders?,2007,http://www.metrolyrics.com/who-put-the-weight-of-the-world-on-my-shoulders-lyrics-oasis.html,5
Wonderwall,1995,http://www.metrolyrics.com/wonderwall-lyrics-oasis.html,1
Wonderwall - Remastered,2018,http://www.metrolyrics.com/wonderwall-remastered-lyrics-oasis.html,0
Wont Let You Down,2007,http://www.metrolyrics.com/wont-let-you-down-lyrics-oasis.html,0
You've Got To Hide Your Love Away,2007,http://www.metrolyrics.com/youve-got-to-hide-your-love-away-lyrics-oasis.html,0
